sale_id,employee_id,product,category,amount,quantity,sale_date,region
248,25,Headphones,Accessories,3262,1,2023-12-09,North
249,25,Tablet,Electronics,35608,2,2023-04-05,West
250,25,Sofa,Furniture,77818,3,2023-10-30,East
251,25,Table,Furniture,75968,5,2023-05-14,South
252,25,Desk,Furniture,28585,3,2024-07-21,South
253,26,Chair,Furniture,10906,2,2026-02-18,East
254,26,Phone,Electronics,34615,1,2026-02-18,South
255,26,Phone,Electronics,68489,2,2026-02-18,North
256,26,Table,Furniture,28569,2,2026-02-18,East
257,26,Chair,Furniture,16991,3,2026-02-18,East
258,26,Desk,Furniture,21145,2,2026-02-18,West
259,26,Headphones,Accessories,12552,4,2026-02-18,East
260,26,Tablet,Electronics,95066,4,2026-02-18,West
261,26,Sofa,Furniture,127309,5,2026-02-18,South
262,26,Laptop,Electronics,70632,1,2026-02-18,East
263,26,Chair,Furniture,5446,1,2026-02-18,South
264,26,Table,Furniture,44036,3,2026-02-18,West
265,27,Desk,Furniture,51747,5,2020-09-17,West
266,27,Tablet,Electronics,20213,1,2022-08-20,West
267,27,Phone,Electronics,29950,1,2021-02-12,West
268,27,Table,Furniture,44964,3,2024-08-24,West
269,27,Phone,Electronics,57552,2,2023-08-29,East
270,27,Desk,Furniture,42229,4,2020-11-13,West
271,27,Monitor,Electronics,40060,3,2021-04-02,North
272,27,Sofa,Furniture,88249,4,2022-04-22,North
273,27,Desk,Furniture,8981,1,2021-07-07,East
274,27,Headphones,Accessories,17130,5,2024-05-21,North
275,27,Mouse,Accessories,6561,4,2023-01-19,East
276,27,Mouse,Accessories,4797,3,2023-03-15,West
277,27,Laptop,Electronics,182039,3,2020-11-07,South
278,27,Table,Furniture,32183,2,2024-01-09,East
279,28,Phone,Electronics,126483,4,2021-03-11,South
280,28,Table,Furniture,32074,2,2021-08-15,South
281,28,Mouse,Accessories,3034,2,2024-12-21,South
282,28,Tablet,Electronics,70986,3,2023-05-11,South
283,28,Table,Furniture,15525,1,2022-10-27,East
284,28,Phone,Electronics,68654,2,2023-09-20,East
285,28,Chair,Furniture,22776,5,2024-06-15,East
286,28,Printer,Electronics,64625,4,2022-06-25,North
287,28,Headphones,Accessories,9297,3,2024-01-12,West
288,28,Monitor,Electronics,10958,1,2023-04-07,West
289,28,Keyboard,Accessories,8407,5,2023-03-03,North
290,28,Desk,Furniture,52547,5,2023-11-21,West
291,29,Mouse,Accessories,5996,4,2026-03-10,West
292,29,Headphones,Accessories,5250,2,2026-03-10,South
293,29,Mouse,Accessories,3773,3,2026-03-10,East
294,29,Sofa,Furniture,55340,2,2026-03-10,West
295,29,Phone,Electronics,111664,4,2026-03-10,East
296,29,Laptop,Electronics,225372,4,2026-03-10,South
297,29,Headphones,Accessories,14131,5,2026-03-10,North
298,29,Table,Furniture,27945,2,2026-03-10,East
299,29,Mouse,Accessories,5966,4,2026-03-10,West
300,29,Tablet,Electronics,67773,4,2026-03-10,East
301,29,Chair,Furniture,27013,5,2026-03-10,South
302,29,Sofa,Furniture,21582,1,2026-03-10,South
303,29,Chair,Furniture,29507,5,2026-03-10,South
304,29,Laptop,Electronics,192235,3,2026-03-10,West
305,29,Laptop,Electronics,392978,5,2026-03-10,South
306,30,Table,Furniture,49979,3,2023-12-04,North
307,30,Sofa,Furniture,100095,4,2022-07-09,West
308,30,Printer,Electronics,64735,5,2021-06-29,East
309,30,Chair,Furniture,5031,1,2023-10-16,South
310,30,Laptop,Electronics,361965,5,2021-06-08,South
311,30,Desk,Furniture,44280,4,2022-07-31,East
312,31,Mouse,Accessories,3521,2,2020-02-10,West
313,31,Chair,Furniture,17600,3,2021-07-19,North
314,31,Monitor,Electronics,22869,2,2023-02-28,East
315,31,Printer,Electronics,25581,2,2020-03-16,South
316,31,Tablet,Electronics,35099,2,2020-08-03,South
317,32,Phone,Electronics,57582,2,2024-06-23,South
318,32,Phone,Electronics,174903,5,2024-03-29,North
319,32,Chair,Furniture,21656,5,2023-11-18,North
320,32,Table,Furniture,59161,4,2024-02-14,West
321,32,Headphones,Accessories,9451,3,2023-12-10,West
322,32,Sofa,Furniture,41225,2,2024-05-31,East
323,32,Monitor,Electronics,19951,2,2024-11-10,West
324,32,Phone,Electronics,120769,5,2024-08-12,East
325,32,Phone,Electronics,153418,5,2024-07-02,West
326,32,Keyboard,Accessories,5771,3,2024-09-13,East
327,32,Chair,Furniture,14530,3,2024-01-08,East
328,32,Keyboard,Accessories,11805,5,2024-09-13,North
329,33,Mouse,Accessories,3137,2,2022-02-03,West
330,33,Laptop,Electronics,72853,1,2023-06-15,West
331,33,Headphones,Accessories,3106,1,2022-11-21,North
332,33,Chair,Furniture,16548,4,2019-09-15,East
333,33,Printer,Electronics,57863,4,2019-11-11,East
334,33,Monitor,Electronics,51396,5,2023-01-29,South
335,33,Keyboard,Accessories,2237,1,2021-01-18,South
336,33,Table,Furniture,17130,1,2020-09-09,East
337,33,Chair,Furniture,13722,3,2019-04-12,South
338,33,Sofa,Furniture,20829,1,2021-08-16,East
339,33,Printer,Electronics,48772,4,2021-03-02,South
340,33,Laptop,Electronics,334553,4,2022-01-21,South
341,33,Tablet,Electronics,81527,4,2021-01-14,East
342,34,Desk,Furniture,27302,3,2024-10-16,East
343,34,Monitor,Electronics,67072,5,2024-12-05,North
344,34,Printer,Electronics,13574,1,2024-10-13,South
345,34,Phone,Electronics,26653,1,2024-12-25,East
346,34,Table,Furniture,33793,2,2024-09-18,East
347,34,Monitor,Electronics,41396,3,2024-11-29,North
348,34,Chair,Furniture,14080,3,2024-12-06,North
349,34,Printer,Electronics,82314,5,2024-07-27,West
350,34,Phone,Electronics,107428,3,2024-08-31,South
351,34,Phone,Electronics,98048,3,2024-08-17,South
352,34,Tablet,Electronics,21138,1,2024-12-30,West
353,34,Mouse,Accessories,6705,4,2024-11-25,South
354,35,Printer,Electronics,32793,2,2022-04-03,North
355,35,Table,Furniture,40264,3,2019-08-17,West
356,35,Printer,Electronics,46779,3,2018-07-05,South
357,35,Mouse,Accessories,4476,3,2024-11-06,North
358,35,Chair,Furniture,20043,4,2018-10-10,East
359,35,Monitor,Electronics,20477,2,2022-09-22,North
360,35,Printer,Electronics,39105,3,2024-09-13,West
361,35,Printer,Electronics,61890,5,2020-02-05,East
362,35,Sofa,Furniture,53559,2,2024-12-08,West
363,36,Chair,Furniture,5451,1,2022-12-03,East
364,36,Table,Furniture,71144,4,2023-10-31,North
365,36,Sofa,Furniture,26968,1,2024-08-12,West
366,36,Sofa,Furniture,80800,4,2024-07-04,West
367,36,Keyboard,Accessories,8644,4,2022-11-01,North
368,36,Desk,Furniture,10165,1,2023-07-22,South
369,36,Phone,Electronics,78248,3,2023-09-22,North
370,36,Chair,Furniture,21433,4,2022-10-14,East
371,36,Printer,Electronics,24823,2,2023-05-03,South
372,36,Phone,Electronics,95821,3,2023-05-19,South
373,36,Printer,Electronics,46127,3,2024-02-25,South
374,36,Phone,Electronics,74375,3,2023-10-12,West
375,36,Keyboard,Accessories,8966,4,2023-03-31,South
376,37,Keyboard,Accessories,5967,3,2023-03-06,East
377,37,Sofa,Furniture,43737,2,2023-09-17,South
378,37,Monitor,Electronics,71137,5,2024-04-18,North
379,37,Chair,Furniture,4618,1,2023-06-19,West
380,37,Monitor,Electronics,50213,5,2023-12-16,North
381,37,Tablet,Electronics,111974,5,2024-05-31,West
382,37,Keyboard,Accessories,2123,1,2022-12-02,North
383,37,Tablet,Electronics,46221,2,2023-07-12,South
384,37,Table,Furniture,28549,2,2023-08-19,North
385,37,Tablet,Electronics,71547,3,2023-09-25,North
386,38,Printer,Electronics,26730,2,2025-09-08,North
387,38,Chair,Furniture,20580,4,2025-09-08,East
388,38,Desk,Furniture,10772,1,2025-09-08,South
389,38,Keyboard,Accessories,3718,2,2025-09-08,South
390,38,Monitor,Electronics,25084,2,2025-09-08,East
391,38,Table,Furniture,31683,2,2025-09-08,South
392,38,Keyboard,Accessories,9590,4,2025-09-08,West
393,38,Phone,Electronics,28009,1,2025-09-08,North
394,38,Monitor,Electronics,9941,1,2025-09-08,South
395,38,Tablet,Electronics,47899,2,2025-09-08,North
396,38,Keyboard,Accessories,9418,4,2025-09-08,South
397,38,Table,Furniture,35355,2,2025-09-08,South
398,39,Monitor,Electronics,40137,4,2022-11-07,East
399,39,Tablet,Electronics,94067,5,2022-05-08,North
400,39,Chair,Furniture,11373,2,2023-05-18,South
401,39,Monitor,Electronics,53428,4,2022-10-21,East
402,39,Sofa,Furniture,56225,2,2024-07-28,West
403,40,Desk,Furniture,32696,4,2026-02-28,South
404,40,Headphones,Accessories,2662,1,2026-02-28,North
405,40,Keyboard,Accessories,8379,5,2026-02-28,North
406,40,Keyboard,Accessories,4676,2,2026-02-28,North
407,40,Laptop,Electronics,234319,3,2026-02-28,East
408,40,Headphones,Accessories,13723,4,2026-02-28,East
409,40,Headphones,Accessories,5062,2,2026-02-28,East
410,40,Desk,Furniture,35559,4,2026-02-28,South
411,40,Mouse,Accessories,3115,2,2026-02-28,East
412,41,Phone,Electronics,144433,5,2024-03-20,East
413,41,Tablet,Electronics,56045,3,2023-07-04,North
414,41,Desk,Furniture,20569,2,2019-12-24,North
415,41,Table,Furniture,53903,3,2024-09-03,South
416,41,Printer,Electronics,57733,4,2021-08-18,West
417,41,Printer,Electronics,66693,5,2021-11-16,North
418,41,Desk,Furniture,34752,3,2024-09-02,East
419,41,Table,Furniture,42347,3,2021-04-30,South
420,41,Laptop,Electronics,242738,4,2020-05-26,North
421,41,Phone,Electronics,25488,1,2022-12-06,South
422,41,Keyboard,Accessories,6803,3,2023-07-19,South
423,41,Headphones,Accessories,2918,1,2023-02-16,South
424,41,Sofa,Furniture,49464,2,2023-01-19,West
425,42,Desk,Furniture,36627,4,2020-03-05,North
426,42,Desk,Furniture,21012,2,2023-06-15,North
427,42,Laptop,Electronics,368640,5,2023-01-10,South
428,42,Chair,Furniture,21601,4,2021-01-15,North
429,42,Keyboard,Accessories,9216,5,2020-08-26,East
430,42,Desk,Furniture,33172,4,2024-07-18,East
431,43,Laptop,Electronics,243796,4,2023-11-14,West
432,43,Sofa,Furniture,48833,2,2023-08-04,North
433,43,Printer,Electronics,12458,1,2024-06-22,North
434,43,Sofa,Furniture,124298,5,2023-11-27,South
435,43,Desk,Furniture,40191,4,2023-09-23,South
436,43,Tablet,Electronics,117567,5,2024-12-25,North
437,43,Chair,Furniture,23098,4,2024-10-29,East
438,43,Monitor,Electronics,59614,5,2024-02-17,East
439,43,Keyboard,Accessories,2324,1,2023-08-23,North
440,43,Laptop,Electronics,319866,4,2023-10-07,North
441,43,Chair,Furniture,15083,3,2024-12-20,West
442,44,Phone,Electronics,30478,1,2021-04-21,South
443,44,Chair,Furniture,24100,5,2024-01-08,East
444,44,Mouse,Accessories,3427,2,2022-09-20,East
445,44,Keyboard,Accessories,5759,3,2024-04-21,East
446,44,Desk,Furniture,8317,1,2024-10-07,North
447,44,Printer,Electronics,87909,5,2022-04-09,North
448,45,Phone,Electronics,56472,2,2022-11-25,North
449,45,Chair,Furniture,10845,2,2020-07-12,West
450,45,Tablet,Electronics,68602,4,2020-05-14,East
451,45,Tablet,Electronics,22062,1,2021-05-29,East
452,45,Headphones,Accessories,13662,4,2019-09-05,East
453,45,Chair,Furniture,9879,2,2019-11-16,South
454,45,Headphones,Accessories,3109,1,2022-04-17,West
455,45,Printer,Electronics,31988,2,2020-01-09,North
456,45,Desk,Furniture,57440,5,2022-03-13,South
457,45,Phone,Electronics,31949,1,2021-01-10,East
458,45,Chair,Furniture,23055,5,2021-06-12,East
459,45,Mouse,Accessories,5017,4,2021-08-05,North
460,46,Tablet,Electronics,77617,4,2025-12-27,West
461,46,Table,Furniture,71670,5,2025-12-27,West
462,46,Printer,Electronics,41022,3,2025-12-27,North
463,46,Printer,Electronics,27955,2,2025-12-27,North
464,46,Mouse,Accessories,3896,3,2025-12-27,South
465,46,Printer,Electronics,14057,1,2025-12-27,East
466,46,Mouse,Accessories,4525,3,2025-12-27,South
467,46,Sofa,Furniture,20287,1,2025-12-27,East
468,46,Desk,Furniture,53710,5,2025-12-27,North
469,46,Sofa,Furniture,98691,4,2025-12-27,East
470,46,Sofa,Furniture,93898,4,2025-12-27,North
471,46,Phone,Electronics,25597,1,2025-12-27,South
472,46,Laptop,Electronics,353816,5,2025-12-27,North
473,47,Printer,Electronics,51644,3,2021-08-10,West
474,47,Chair,Furniture,5230,1,2022-11-30,North
475,47,Sofa,Furniture,68310,3,2022-09-09,East
476,47,Monitor,Electronics,46179,4,2023-05-06,East
477,47,Table,Furniture,26647,2,2023-04-26,East
478,47,Headphones,Accessories,16080,5,2023-09-28,East
479,47,Monitor,Electronics,25541,2,2024-07-03,East
480,47,Keyboard,Accessories,4437,2,2022-09-01,South
481,48,Headphones,Accessories,3098,1,2019-10-07,West
482,48,Desk,Furniture,35086,4,2022-02-25,South
483,48,Table,Furniture,13068,1,2020-10-19,South
484,48,Desk,Furniture,58386,5,2020-05-10,North
485,48,Phone,Electronics,96075,3,2020-02-16,North
486,48,Printer,Electronics,79872,5,2022-11-02,East
487,48,Laptop,Electronics,162446,2,2023-09-14,East
488,49,Sofa,Furniture,100015,4,2023-01-10,North
489,49,Phone,Electronics,35839,1,2024-08-13,North
490,49,Sofa,Furniture,48680,2,2022-07-01,West
491,49,Phone,Electronics,101369,4,2023-07-05,West
492,49,Keyboard,Accessories,2354,1,2024-02-02,West
493,49,Phone,Electronics,125417,5,2024-03-20,East
494,49,Tablet,Electronics,68306,4,2023-11-13,West
495,49,Desk,Furniture,22146,2,2023-03-25,North
496,49,Keyboard,Accessories,2336,1,2024-06-01,West
497,49,Laptop,Electronics,329247,4,2023-06-19,West
498,49,Phone,Electronics,63174,2,2022-09-14,West
499,49,Headphones,Accessories,10303,3,2024-11-30,East
500,49,Keyboard,Accessories,8943,5,2024-10-02,West
501,50,Tablet,Electronics,80793,4,2024-09-20,North
502,50,Laptop,Electronics,374499,5,2024-09-30,East
503,50,Desk,Furniture,39691,4,2024-03-08,North
504,50,Laptop,Electronics,174193,3,2024-07-20,South
505,50,Keyboard,Accessories,1967,1,2024-09-08,South
506,50,Monitor,Electronics,38504,4,2024-11-08,East
507,50,Phone,Electronics,83510,3,2024-10-18,West
